BrandAAIAID|PartNumber|AssetType|OrientationView|Background|Representation|FileName|FileType|FileSize|Resolution|ColorMode|AssetHeight|AssetWidth|UOM|Details
BKDK|17312|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17312_3008x1990_a.jpg|JPG|209|300|RGB|1500|1500|PX|
BKDK|17314|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17314_3008x1990_a.jpg|JPG|144|300|RGB|1500|1500|PX|
BKDK|17322|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17322_3008x1990_ca.jpg|JPG|19|72|RGB|250|251|PX|
BKDK|17322|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17322_3008x1990_fa.jpg|JPG|26|72|RGB|250|251|PX|
BKDK|17322|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17322_3008x1990_fb.jpg|JPG|24|72|RGB|250|251|PX|
BKDK|17322|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17322_3008x1990_fc.jpg|JPG|18|72|RGB|250|251|PX|
BKDK|17322|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17322_3008x1990_fd.jpg|JPG|29|72|RGB|250|251|PX|
BKDK|17322|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17322_3008x1990_fe.jpg|JPG|33|72|RGB|250|251|PX|
BKDK|17322|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17322_3008x1990_ff.jpg|JPG|36|72|RGB|250|251|PX|
BKDK|17322|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17322_3008x1990_fg.jpg|JPG|36|72|RGB|250|251|PX|
BKDK|17322|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17322_3008x1990_fh.jpg|JPG|22|72|RGB|250|251|PX|
BKDK|17322|INS|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17322_INS.pdf|PDF|506||||||
BKDK|17322|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17322_3008x1990_a.jpg|JPG|162|300|RGB|1500|1500|PX|
BKDK|17322|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17322_3008x1990_ta.jpg|JPG|268|300|RGB|1500|1500|PX|
BKDK|17332|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17332_3008x1990_ca.jpg|JPG|17|72|RGB|250|251|PX|
BKDK|17332|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17332_3008x1990_fa.jpg|JPG|24|72|RGB|250|251|PX|
BKDK|17332|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17332_3008x1990_fb.jpg|JPG|24|72|RGB|250|251|PX|
BKDK|17332|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17332_3008x1990_fd.jpg|JPG|29|72|RGB|250|251|PX|
BKDK|17332|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17332_3008x1990_fe.jpg|JPG|33|72|RGB|250|251|PX|
BKDK|17332|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17332_3008x1990_ff.jpg|JPG|36|72|RGB|250|251|PX|
BKDK|17332|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17332_3008x1990_fg.jpg|JPG|36|72|RGB|250|251|PX|
BKDK|17332|INS|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17332_INS.pdf|PDF|506||||||
BKDK|17332|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17332_3008x1990_a.jpg|JPG|114|300|RGB|1500|1500|PX|
BKDK|17332|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17332_3008x1990_ta.jpg|JPG|268|300|RGB|1500|1500|PX|
BKDK|17333|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17333_3008x1990_ca.jpg|JPG|17|72|RGB|250|251|PX|
BKDK|17333|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17333_3008x1990_fa.jpg|JPG|24|72|RGB|250|251|PX|
BKDK|17333|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17333_3008x1990_fb.jpg|JPG|24|72|RGB|250|251|PX|
BKDK|17333|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17333_3008x1990_fd.jpg|JPG|29|72|RGB|250|251|PX|
