BrandAAIAID|PartNumber|DescriptionCode|Description|Sequence
BKDK|110343|FAB|1 1/4 In. X 1 1/4 In. Ball Mount Features A 3/4 In. Hole|8
BKDK|110343|FAB|Backed By A Limited Lifetime Warranty|9
BKDK|11041|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|11041|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|11041|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|11041|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|11041|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|11041|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|11041|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|11041|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|11041|FAB|Made in USA [may include imported hardware]|9
BKDK|110413|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|110413|FAB|Made in USA [may include imported hardware]|10
BKDK|110413|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|110413|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|110413|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|110413|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|110413|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|110413|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|110413|FAB|1 1/4 In. X 1 1/4 In. Ball Mount Features A 3/4 In. Hole|8
BKDK|110413|FAB|Backed By A Limited Lifetime Warranty|9
BKDK|11048|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|11048|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|11048|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|11048|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|11048|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|11048|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|11048|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|11048|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|11048|FAB|Made in USA [may include imported hardware]|9
BKDK|110483|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|110483|FAB|Backed By A Limited Lifetime Warranty|10
BKDK|110483|FAB|Made in USA [may include imported hardware]|11
BKDK|110483|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|110483|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|110483|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|110483|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|110483|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|110483|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|110483|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
